LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,GDP,Flag Codes,Lookup Area,Lookup M49,Lookup iso,Area Code,Area Code (M49),Area,eu_member,Item Code,Item Code (CPC),Item,Element Code,Element,Months Code,Months,Unit,YEAR,wheat_PPI,YEAR_INT
BEL,GDP,TOT,USD_CAP,A,2010,39837.997954,,Belgium,56.0,BEL,255,'056,Belgium,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2010,103.27,2010
BEL,GDP,TOT,USD_CAP,A,2011,40943.343479,,Belgium,56.0,BEL,255,'056,Belgium,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2011,131.47,2011
BEL,GDP,TOT,USD_CAP,A,2012,42290.477674,,Belgium,56.0,BEL,255,'056,Belgium,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2012,148.0,2012
BEL,GDP,TOT,USD_CAP,A,2013,43672.712292,,Belgium,56.0,BEL,255,'056,Belgium,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2013,131.71,2013
BEL,GDP,TOT,USD_CAP,A,2014,44929.933328,,Belgium,56.0,BEL,255,'056,Belgium,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2014,109.25,2014
BEL,GDP,TOT,USD_CAP,A,2015,46201.685891,,Belgium,56.0,BEL,255,'056,Belgium,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2015,102.34,2015
BEL,GDP,TOT,USD_CAP,A,2016,48599.202676,,Belgium,56.0,BEL,255,'056,Belgium,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2016,88.41,2016
BEL,GDP,TOT,USD_CAP,A,2017,50442.947518,,Belgium,56.0,BEL,255,'056,Belgium,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2017,93.7,2017
BEL,GDP,TOT,USD_CAP,A,2018,52530.84151,,Belgium,56.0,BEL,255,'056,Belgium,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2018,110.42,2018
BEL,GDP,TOT,USD_CAP,A,2019,55800.825988,,Belgium,56.0,BEL,255,'056,Belgium,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2019,103.35,2019
BEL,GDP,TOT,USD_CAP,A,2020,54539.032525,P,Belgium,56.0,BEL,255,'056,Belgium,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2020,115.65,2020
BEL,GDP,TOT,USD_CAP,A,2021,58816.266983,P,Belgium,56.0,BEL,255,'056,Belgium,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2021,119.2,2021
CAN,GDP,TOT,USD_CAP,A,2000,29362.289573,,Canada,124.0,CAN,33,'124,Canada,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2000,60.37,2000
CAN,GDP,TOT,USD_CAP,A,2001,30231.005032,,Canada,124.0,CAN,33,'124,Canada,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2001,69.25,2001
CAN,GDP,TOT,USD_CAP,A,2002,30963.222007,,Canada,124.0,CAN,33,'124,Canada,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2002,79.46,2002
CAN,GDP,TOT,USD_CAP,A,2003,32350.070882,,Canada,124.0,CAN,33,'124,Canada,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2003,75.91,2003
CAN,GDP,TOT,USD_CAP,A,2004,33925.89256,,Canada,124.0,CAN,33,'124,Canada,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2004,67.92,2004
CAN,GDP,TOT,USD_CAP,A,2005,36327.662059,,Canada,124.0,CAN,33,'124,Canada,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2005,52.82,2005
CAN,GDP,TOT,USD_CAP,A,2006,38120.176792,,Canada,124.0,CAN,33,'124,Canada,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2006,54.16,2006
CAN,GDP,TOT,USD_CAP,A,2007,39575.324973,,Canada,124.0,CAN,33,'124,Canada,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2007,85.19,2007
CAN,GDP,TOT,USD_CAP,A,2008,40376.330167,,Canada,124.0,CAN,33,'124,Canada,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2008,129.74,2008
CAN,GDP,TOT,USD_CAP,A,2009,38865.406022,,Canada,124.0,CAN,33,'124,Canada,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2009,97.14,2009
CAN,GDP,TOT,USD_CAP,A,2010,40099.497886,,Canada,124.0,CAN,33,'124,Canada,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2010,80.97,2010
CAN,GDP,TOT,USD_CAP,A,2011,41666.718851,,Canada,124.0,CAN,33,'124,Canada,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2011,104.1,2011
CAN,GDP,TOT,USD_CAP,A,2012,42290.879082,,Canada,124.0,CAN,33,'124,Canada,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2012,112.62,2012
CAN,GDP,TOT,USD_CAP,A,2013,44298.514462,,Canada,124.0,CAN,33,'124,Canada,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2013,115.6,2013
CAN,GDP,TOT,USD_CAP,A,2014,45753.782936,,Canada,124.0,CAN,33,'124,Canada,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2014,94.41,2014
CAN,GDP,TOT,USD_CAP,A,2015,44670.054374,,Canada,124.0,CAN,33,'124,Canada,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2015,103.01,2015
CAN,GDP,TOT,USD_CAP,A,2016,46472.368771,,Canada,124.0,CAN,33,'124,Canada,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2016,102.58,2016
CAN,GDP,TOT,USD_CAP,A,2017,48317.191163,,Canada,124.0,CAN,33,'124,Canada,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2017,104.1,2017
CAN,GDP,TOT,USD_CAP,A,2018,49992.811418,,Canada,124.0,CAN,33,'124,Canada,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2018,109.13,2018
CAN,GDP,TOT,USD_CAP,A,2019,49832.297981,,Canada,124.0,CAN,33,'124,Canada,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2019,106.1,2019
CAN,GDP,TOT,USD_CAP,A,2020,47228.372488,,Canada,124.0,CAN,33,'124,Canada,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2020,108.28,2020
CAN,GDP,TOT,USD_CAP,A,2021,53074.088264,,Canada,124.0,CAN,33,'124,Canada,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2021,110.2,2021
CZE,GDP,TOT,USD_CAP,A,2000,16210.137699,,Czechia,203.0,CZE,167,'203,Czechia,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2000,80.1,2000
CZE,GDP,TOT,USD_CAP,A,2001,17610.749577,,Czechia,203.0,CZE,167,'203,Czechia,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2001,92.6,2001
CZE,GDP,TOT,USD_CAP,A,2002,18245.669005,,Czechia,203.0,CZE,167,'203,Czechia,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2002,80.03,2002
CZE,GDP,TOT,USD_CAP,A,2003,19524.257785,,Czechia,203.0,CZE,167,'203,Czechia,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2003,79.46,2003
CZE,GDP,TOT,USD_CAP,A,2004,20912.045913,,Czechia,203.0,CZE,167,'203,Czechia,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2004,91.82,2004
CZE,GDP,TOT,USD_CAP,A,2005,22045.99888,,Czechia,203.0,CZE,167,'203,Czechia,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2005,64.7,2005
CZE,GDP,TOT,USD_CAP,A,2006,23855.587922,,Czechia,203.0,CZE,167,'203,Czechia,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2006,72.96,2006
CZE,GDP,TOT,USD_CAP,A,2007,26224.530769,,Czechia,203.0,CZE,167,'203,Czechia,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2007,99.1,2007
CZE,GDP,TOT,USD_CAP,A,2008,27853.549898,,Czechia,203.0,CZE,167,'203,Czechia,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2008,112.97,2008
CZE,GDP,TOT,USD_CAP,A,2009,27637.158658,,Czechia,203.0,CZE,167,'203,Czechia,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2009,64.61,2009
CZE,GDP,TOT,USD_CAP,A,2010,27768.004347,,Czechia,203.0,CZE,167,'203,Czechia,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2010,74.66,2010
CZE,GDP,TOT,USD_CAP,A,2011,28999.754757,,Czechia,203.0,CZE,167,'203,Czechia,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2011,110.23,2011
CZE,GDP,TOT,USD_CAP,A,2012,29258.904853,,Czechia,203.0,CZE,167,'203,Czechia,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2012,113.76,2012
CZE,GDP,TOT,USD_CAP,A,2013,30828.526409,,Czechia,203.0,CZE,167,'203,Czechia,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2013,120.31,2013
CZE,GDP,TOT,USD_CAP,A,2014,32504.217576,,Czechia,203.0,CZE,167,'203,Czechia,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2014,117.58,2014
CZE,GDP,TOT,USD_CAP,A,2015,33909.309243,,Czechia,203.0,CZE,167,'203,Czechia,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2015,97.21,2015
CZE,GDP,TOT,USD_CAP,A,2016,36101.285601,,Czechia,203.0,CZE,167,'203,Czechia,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2016,85.21,2016
CZE,GDP,TOT,USD_CAP,A,2017,38842.896268,,Czechia,203.0,CZE,167,'203,Czechia,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2017,87.98,2017
CZE,GDP,TOT,USD_CAP,A,2018,41157.370409,,Czechia,203.0,CZE,167,'203,Czechia,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2018,94.2,2018
CZE,GDP,TOT,USD_CAP,A,2019,44223.088155,,Czechia,203.0,CZE,167,'203,Czechia,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2019,100.28,2019
CZE,GDP,TOT,USD_CAP,A,2020,42813.74134,,Czechia,203.0,CZE,167,'203,Czechia,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2020,96.53,2020
CZE,GDP,TOT,USD_CAP,A,2021,44799.547333,,Czechia,203.0,CZE,167,'203,Czechia,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2021,101.03,2021
DNK,GDP,TOT,USD_CAP,A,2000,28670.728216,,Denmark,208.0,DNK,54,'208,Denmark,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2000,77.55,2000
DNK,GDP,TOT,USD_CAP,A,2001,29451.742361,,Denmark,208.0,DNK,54,'208,Denmark,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2001,77.12,2001
DNK,GDP,TOT,USD_CAP,A,2002,30639.953691,,Denmark,208.0,DNK,54,'208,Denmark,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2002,68.13,2002
DNK,GDP,TOT,USD_CAP,A,2003,30825.001654,,Denmark,208.0,DNK,54,'208,Denmark,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2003,69.7,2003
DNK,GDP,TOT,USD_CAP,A,2004,32948.152759,,Denmark,208.0,DNK,54,'208,Denmark,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2004,82.18,2004
DNK,GDP,TOT,USD_CAP,A,2005,34152.881663,,Denmark,208.0,DNK,54,'208,Denmark,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2005,65.86,2005
DNK,GDP,TOT,USD_CAP,A,2006,37330.825511,,Denmark,208.0,DNK,54,'208,Denmark,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2006,71.45,2006
DNK,GDP,TOT,USD_CAP,A,2007,39020.79979,,Denmark,208.0,DNK,54,'208,Denmark,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2007,107.91,2007
DNK,GDP,TOT,USD_CAP,A,2008,41282.995471,,Denmark,208.0,DNK,54,'208,Denmark,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2008,132.07,2008
DNK,GDP,TOT,USD_CAP,A,2009,40334.271114,,Denmark,208.0,DNK,54,'208,Denmark,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2009,79.03,2009
DNK,GDP,TOT,USD_CAP,A,2010,43007.731551,,Denmark,208.0,DNK,54,'208,Denmark,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2010,85.84,2010
DNK,GDP,TOT,USD_CAP,A,2011,44407.94207,,Denmark,208.0,DNK,54,'208,Denmark,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2011,126.05,2011
DNK,GDP,TOT,USD_CAP,A,2012,44808.549212,,Denmark,208.0,DNK,54,'208,Denmark,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2012,134.52,2012
DNK,GDP,TOT,USD_CAP,A,2013,46742.939663,,Denmark,208.0,DNK,54,'208,Denmark,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2013,133.38,2013
DNK,GDP,TOT,USD_CAP,A,2014,47905.477079,,Denmark,208.0,DNK,54,'208,Denmark,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2014,108.17,2014
DNK,GDP,TOT,USD_CAP,A,2015,49058.142344,,Denmark,208.0,DNK,54,'208,Denmark,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2015,100.23,2015
DNK,GDP,TOT,USD_CAP,A,2016,51967.020438,,Denmark,208.0,DNK,54,'208,Denmark,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2016,91.6,2016
DNK,GDP,TOT,USD_CAP,A,2017,55356.49009,,Denmark,208.0,DNK,54,'208,Denmark,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2017,97.09,2017
DNK,GDP,TOT,USD_CAP,A,2018,57479.350221,,Denmark,208.0,DNK,54,'208,Denmark,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2018,109.57,2018
DNK,GDP,TOT,USD_CAP,A,2019,59883.83628,,Denmark,208.0,DNK,54,'208,Denmark,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2019,116.98,2019
DNK,GDP,TOT,USD_CAP,A,2020,60840.940164,,Denmark,208.0,DNK,54,'208,Denmark,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2020,108.17,2020
DNK,GDP,TOT,USD_CAP,A,2021,64897.769113,,Denmark,208.0,DNK,54,'208,Denmark,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2021,119.08,2021
FIN,GDP,TOT,USD_CAP,A,2000,26788.428751,,Finland,246.0,FIN,67,'246,Finland,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2000,82.48,2000
FIN,GDP,TOT,USD_CAP,A,2001,27800.104183,,Finland,246.0,FIN,67,'246,Finland,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2001,81.04,2001
FIN,GDP,TOT,USD_CAP,A,2002,28605.122922,,Finland,246.0,FIN,67,'246,Finland,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2002,80.82,2002
FIN,GDP,TOT,USD_CAP,A,2003,29052.831004,,Finland,246.0,FIN,67,'246,Finland,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2003,77.14,2003
FIN,GDP,TOT,USD_CAP,A,2004,31201.747219,,Finland,246.0,FIN,67,'246,Finland,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2004,73.47,2004
FIN,GDP,TOT,USD_CAP,A,2005,32051.762889,,Finland,246.0,FIN,67,'246,Finland,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2005,64.9,2005
FIN,GDP,TOT,USD_CAP,A,2006,34449.888563,,Finland,246.0,FIN,67,'246,Finland,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2006,67.96,2006
FIN,GDP,TOT,USD_CAP,A,2007,37842.676429,,Finland,246.0,FIN,67,'246,Finland,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2007,97.96,2007
FIN,GDP,TOT,USD_CAP,A,2008,40083.701943,,Finland,246.0,FIN,67,'246,Finland,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2008,115.71,2008
FIN,GDP,TOT,USD_CAP,A,2009,37974.109514,,Finland,246.0,FIN,67,'246,Finland,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2009,80.82,2009
FIN,GDP,TOT,USD_CAP,A,2010,38955.563862,,Finland,246.0,FIN,67,'246,Finland,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2010,90.0,2010
FIN,GDP,TOT,USD_CAP,A,2011,40916.647325,,Finland,246.0,FIN,67,'246,Finland,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2011,120.61,2011
FIN,GDP,TOT,USD_CAP,A,2012,40872.854802,,Finland,246.0,FIN,67,'246,Finland,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2012,124.29,2012
FIN,GDP,TOT,USD_CAP,A,2013,41492.918416,,Finland,246.0,FIN,67,'246,Finland,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2013,124.9,2013
FIN,GDP,TOT,USD_CAP,A,2014,41749.864733,,Finland,246.0,FIN,67,'246,Finland,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2014,104.08,2014
FIN,GDP,TOT,USD_CAP,A,2015,42490.211049,,Finland,246.0,FIN,67,'246,Finland,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2015,103.47,2015
