Area Code,Area Code (M49),Area,eu_member,Item Code,Item Code (CPC),Item,Element Code,Element,Months Code,Months,Unit,YEAR,wheat_PPI
118,'414,Kuwait,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,
113,'417,Kyrgyzstan,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,
119,'428,Latvia,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,
121,'422,Lebanon,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,13.01
126,'440,Lithuania,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,
256,'442,Luxembourg,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,
129,'450,Madagascar,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,6.16
130,'454,Malawi,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,
133,'466,Mali,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,31.16
134,'470,Malta,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,37.12
138,'484,Mexico,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,16.17
141,'496,Mongolia,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,
143,'504,Morocco,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,93.63
144,'508,Mozambique,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,0.99
28,'104,Myanmar,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,2.73
147,'516,Namibia,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,13.01
149,'524,Nepal,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,16.72
150,'528,Netherlands,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,106.39
156,'554,New Zealand,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,79.74
158,'562,Niger,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,37.1
159,'566,Nigeria,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,12.58
154,'807,North Macedonia,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,
162,'578,Norway,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,110.92
221,'512,Oman,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,
165,'586,Pakistan,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,11.36
299,'275,Palestine,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,
169,'600,Paraguay,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,23.42
170,'604,Peru,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,15.26
173,'616,Poland,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,12.01
174,'620,Portugal,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,113.88
179,'634,Qatar,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,175.04
117,'410,Republic of Korea,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,54.73
146,'498,Republic of Moldova,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,
183,'642,Romania,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,
185,'643,Russian Federation,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,
184,'646,Rwanda,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,8.4
194,'682,Saudi Arabia,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,62.35
272,'688,Serbia,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,
199,'703,Slovakia,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,
198,'705,Slovenia,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,
202,'710,South Africa,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,17.69
203,'724,Spain,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,85.68
210,'752,Sweden,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,85.66
211,'756,Switzerland,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,208.01
212,'760,Syrian Arab Republic,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,11.63
208,'762,Tajikistan,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,
216,'764,Thailand,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,38.68
222,'788,Tunisia,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,40.71
223,'792,Türkiye,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,0.09
213,'795,Turkmenistan,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,
230,'804,Ukraine,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,
229,'826,United Kingdom of Great Britain and Northern Ireland,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,87.75
215,'834,United Republic of Tanzania,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,
231,'840,United States of America,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,59.12
234,'858,Uruguay,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,4.45
249,'887,Yemen,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,4.38
181,'716,Zimbabwe,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,0.29
2,'004,Afghanistan,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,17.96
3,'008,Albania,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,
4,'012,Algeria,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,22.78
9,'032,Argentina,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,4.75
1,'051,Armenia,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,
10,'036,Australia,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,66.85
11,'040,Austria,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,186.64
52,'031,Azerbaijan,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,
16,'050,Bangladesh,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,32.87
57,'112,Belarus,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,
255,'056,Belgium,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,
18,'064,Bhutan,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,9.82
19,'068,Bolivia (Plurinational State of),0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,28.49
80,'070,Bosnia and Herzegovina,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,
21,'076,Brazil,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,0.03
27,'100,Bulgaria,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,
29,'108,Burundi,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,33.78
32,'120,Cameroon,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,45.53
33,'124,Canada,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,36.4
39,'148,Chad,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,
40,'152,Chile,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,52.97
41,'156,"China, mainland",0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,28.09
44,'170,Colombia,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,19.55
98,'191,Croatia,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,4.61
50,'196,Cyprus,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,81.5
167,'203,Czechia,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,
54,'208,Denmark,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,114.28
58,'218,Ecuador,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,2.44
59,'818,Egypt,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,19.09
178,'232,Eritrea,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,
63,'233,Estonia,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,60.01
238,'231,Ethiopia,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,
67,'246,Finland,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,225.2
68,'250,France,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,105.8
73,'268,Georgia,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,
79,'276,Germany,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,105.03
84,'300,Greece,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,79.7
95,'340,Honduras,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,25.42
97,'348,Hungary,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,14.93
100,'356,India,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,21.41
101,'360,Indonesia,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,
102,'364,Iran (Islamic Republic of),0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,1.3
103,'368,Iraq,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,
104,'372,Ireland,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,89.2
105,'376,Israel,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,47.29
106,'380,Italy,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,91.68
110,'392,Japan,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,532.5
112,'400,Jordan,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,33.91
108,'398,Kazakhstan,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,
114,'404,Kenya,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,10.74
118,'414,Kuwait,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,
113,'417,Kyrgyzstan,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,
119,'428,Latvia,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,92.58
121,'422,Lebanon,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,43.1
126,'440,Lithuania,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,12.29
256,'442,Luxembourg,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,
129,'450,Madagascar,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,6.44
130,'454,Malawi,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,
133,'466,Mali,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,32.64
134,'470,Malta,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,36.46
138,'484,Mexico,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,16.97
141,'496,Mongolia,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,
143,'504,Morocco,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,107.57
144,'508,Mozambique,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,1.44
28,'104,Myanmar,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,3.0
147,'516,Namibia,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,14.87
149,'524,Nepal,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,17.76
150,'528,Netherlands,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,105.51
156,'554,New Zealand,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,68.74
158,'562,Niger,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,37.02
159,'566,Nigeria,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,21.47
154,'807,North Macedonia,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,12.6
162,'578,Norway,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,92.72
221,'512,Oman,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,
165,'586,Pakistan,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,12.19
299,'275,Palestine,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,
169,'600,Paraguay,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,29.45
170,'604,Peru,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,19.91
173,'616,Poland,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,24.77
174,'620,Portugal,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,103.03
179,'634,Qatar,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,155.56
117,'410,Republic of Korea,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,58.55
146,'498,Republic of Moldova,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,
183,'642,Romania,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,
185,'643,Russian Federation,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,0.1
184,'646,Rwanda,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,7.3
194,'682,Saudi Arabia,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,62.09
272,'688,Serbia,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,
199,'703,Slovakia,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,
198,'705,Slovenia,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,46.26
202,'710,South Africa,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,20.31
203,'724,Spain,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,82.9
210,'752,Sweden,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,83.28
211,'756,Switzerland,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,214.72
212,'760,Syrian Arab Republic,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,14.02
208,'762,Tajikistan,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,
216,'764,Thailand,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,40.7
222,'788,Tunisia,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,43.2
223,'792,Türkiye,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,0.15
213,'795,Turkmenistan,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,
230,'804,Ukraine,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,
229,'826,United Kingdom of Great Britain and Northern Ireland,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,91.5
215,'834,United Republic of Tanzania,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,
231,'840,United States of America,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,65.75
234,'858,Uruguay,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,7.24
249,'887,Yemen,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,4.69
181,'716,Zimbabwe,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1992,0.56
2,'004,Afghanistan,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1993,17.96
3,'008,Albania,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1993,36.81
4,'012,Algeria,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1993,22.78
9,'032,Argentina,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1993,6.49
1,'051,Armenia,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1993,
10,'036,Australia,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1993,60.81
11,'040,Austria,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1993,187.32
52,'031,Azerbaijan,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1993,
16,'050,Bangladesh,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1993,25.48
